r	vel	e_vel
7.355	241.99	7.92
7.675	238.67	4.01
7.599	233.59	8.9
7.615	221.49	4.25
7.776	230.29	6.58
7.425	226.11	5.4
7.234	241.31	7.39
7.228	240.62	4.03
7.287	231.49	4.07
7.237	227.63	4.94
7.192	235.52	5.53
7.164	236.12	0.43
7.303	213.57	4.74
7.738	231.99	2.69
7.069	246.15	13.87
7.026	248.03	3.57
7.695	247.92	2.89
7.274	237.61	2.55
6.995	257.28	4.02
7.85	251.17	1.03
7.489	225.57	4.26
7.119	238.34	12.99
6.951	236.3	7.89
6.999	209.88	5.64
10.043	234.49	7.85
6.918	244.02	4.38
7.501	234.43	3.29
7.663	234.67	2.77
6.876	217.55	9.4
7.392	253.89	2.78
7.729	227.11	2.62
6.816	239.84	6.75
6.85	229.14	6.17
6.724	208.49	6.59
7.222	244.3	5.42
6.659	214.12	3.62
7.175	228.16	4.37
6.625	246.02	2.81
6.625	229.98	4.85
6.914	248.71	3.51
7.187	240.68	2.06
6.591	202.06	10.35
6.485	231.39	2.63
6.466	200.66	6.38
7.637	237.7	1.23
6.668	234.99	3.37
6.638	232.73	11.03
6.619	262.95	2.35
6.744	246.24	3.84
13.978	198.25	12.95
7.375	244.49	2.33
6.39	217.43	4.28
6.342	217.6	3.53
6.317	220.27	5.25
6.113	222.55	6.57
6.302	251.58	3.88
6.942	223.24	3.81
5.862	231.2	8.24
7.595	236.19	2.73
6.303	243.53	4.54
7.273	254.99	7.12
7.546	229.68	1.81
6.423	248.26	4.12
7.521	244.04	1.21
7.555	228.29	1.25
5.85	245.37	5.9
5.195	229.85	9.19
6.24	229.38	3.76
6.718	251.26	4.32
7.657	242.06	1.87
6.482	241.1	2.94
5.288	220.43	12.08
7.358	235.86	1.11
5.853	213.65	4.13
6.756	238.22	2.55
5.475	256.55	4.68
6.958	247.93	1.6
5.157	216.03	3.66
6.462	242.15	2.08
6.751	251.72	0.66
7.44	230.17	2.2
6.292	254.17	1.59
5.309	231.47	2.99
5.288	224.98	3.26
6.224	249.43	2.95
6.481	238.84	2.89
4.602	188.17	6.68
7.291	241.92	2.25
5.714	228.26	2.07
5.193	222.58	7.75
6.548	240.91	1.46
6.589	246.05	1.49
6.752	238.42	2.27
5.973	231.55	2.01
6.633	246.11	1.79
5.143	179.09	5.15
4.251	205.24	7.17
5.172	217.17	2.12
4.75	189.29	2.88
6.101	240.29	8.42
5.14	198.91	2.94
7.332	235.63	1.21
7.299	248.23	0.42
4.804	221.07	3
6.557	231.38	0.9
4.895	188.21	4.59
7.186	234.72	0.57
5.048	213.35	3.47
4.896	227.33	5.11
7.181	236.35	0.63
6.876	236.02	0.6
6.744	251.04	0.63
6.7	244.45	0.67
6.689	241.39	1.77
6.613	248.06	0.67
5.715	235.49	1.18
6.585	242.97	3.03
5.747	230.53	2.55
5.785	244.04	4.77
7.291	234.13	1.46
6.601	236.26	2.02
4.812	196.39	4.28
5.8	228.88	3.03
6.359	250.72	2.74
6.025	280.78	2.78
7.58	224.53	1.55
6.603	253.27	2.44
6.784	245.08	1.93
5.979	229.76	2.91
6.522	233.92	5.28
5.215	239.27	3.36
7.459	232.6	1.2
6.363	241.13	1.69
5.21	251.08	3.17
7.268	249.2	5.88
6.392	238.31	2.4
7.66	243.05	2.36
6.578	227.87	2.29
7.048	237.56	4.01
5.404	212.5	2.76
4.736	206.05	6.51
6.268	246.13	1.72
4.416	241.8	9.11
5.919	235.43	7.1
5.019	241.45	3.49
7.183	247.82	1.33
5.332	244.73	5.61
5.145	209.56	2.92
5.54	242.54	2.71
5.069	233.65	4.39
5.883	263.41	1.52
6.931	240.6	2.48
6.378	239.28	1.91
6.149	235.02	7.35
5.715	233.91	7.72
5.568	233.44	4.35
5.268	249.64	5.15
13.731	171.59	16.56
6.169	256.54	8
6.352	240.4	4.88
6.211	256.27	3.14
6.373	248.1	2.36
6.236	245.06	8.37
6.851	257.46	7.62
7.454	222.91	4.98
6.421	212.71	1.2
7.252	222.21	1.58
7.039	227.15	2.27
6.494	229.1	2.29
5.483	192.23	8.69
6.057	236.51	6.91
7.426	236.54	1.67
7.273	234.95	3.55
7.176	224.79	5.88
6.454	215.44	3.28
6.293	216.04	4.78
7.124	241.76	1.4
5.898	213.6	6.65
6.585	234.87	3.07
6.605	223.76	2.37
6.623	222.53	2.86
6.597	215.39	5
6.555	233.49	7.26
6.681	218.21	6.64
6.666	208.78	3.74
6.908	230.29	6.13
6.717	218.49	3.6
6.85	235.83	2.23
6.71	222.65	3.04
7.055	244.44	4.67
6.825	242.71	5.52
6.928	208.83	12.15
6.978	226.59	6.03
8.027	259.87	5.99
7.261	218.28	4.88
7.572	233.91	9.22
7.082	224.82	2.05
7.205	201.61	7.82
6.987	215.19	3.56
7.893	245.73	5.11
7.238	234.68	2.7
8.797	216.26	7.93
8.765	225.86	7.14
7.334	226.17	1.57
12.375	230.81	12.24
7.388	231.1	4.31
8.22	214.39	7.62
7.348	226.61	11.78
7.402	236.35	7.4
7.526	245.82	4.17
8.376	249.03	7.38
8.616	266.6	9.29
7.685	221.61	2.92
7.361	232.97	5.93
7.688	229.23	7.64
7.341	233.33	4.88
7.621	250.61	8.76
7.486	232.51	10.23
7.638	228.36	3.13
7.425	214.66	7.28
7.702	219.55	6.99
6.696	217.44	5.55
7.717	242.79	6.14
9.293	246.91	5.56
8.692	209.05	5.3
5.41	211.76	3.68
8.724	246.9	5.01
9.06	220.69	6.67
7.699	218.78	7.66
8.01	222.64	15.03
8.283	254.76	8.4
7.783	226.27	5.75
7.867	232.88	4.07
7.673	215.53	3.87
8.181	234.55	7.44
8.374	224.84	5.42
7.808	228.84	4.65
7.743	227.67	5.75
7.841	249.64	5.71
10.287	218.78	8.45
7.903	227.24	6.41
10.997	220.18	9.17
7.874	244.47	1.83
7.885	240.64	3.52
7.96	259.75	10.14
8.19	266.75	6.12
8.133	227.26	4.17
8.117	223.64	3.74
9.889	207.88	7.9
8.301	229.15	4.85
8.746	222.04	9.92
7.934	230.49	2.3
11.744	208.98	4.06
8.82	222.67	4.76
8.66	234.4	3
9.519	200.21	4.49
8.729	217.53	3.18
8.085	239.24	5.78
11.107	212.79	7.81
9.771	210.92	8.06
7.984	240.49	0.94
9.379	208.8	4.8
11.675	208.02	10.28
8.629	225.54	4.46
8.642	235.24	2.58
9.86	195.51	4.38
9.23	208.48	3.96
8.785	214.51	3.02
11.612	237.99	5.13
8.439	244.55	0.6
9.706	233.63	8.14
8.931	219.43	3
9.223	213.53	5.81
11.276	215.71	3.89
9.574	205.79	2.14
10.82	225.93	3.96
8.662	251.49	4.04
10.629	222.54	4
9.359	245.07	1.2
9.573	216.4	7.78
10.374	221.36	2.62
9.43	214.1	4.5
9.889	219.43	4.11
9.622	222.01	3.59
8.294	246.01	3.67
9.474	253.66	9.3
8.355	228.36	3.98
11.352	207.62	4.36
10.406	215.33	6.04
8.669	240.21	7.59
10.007	212.09	5.04
11.409	221.74	2.7
9.896	209.7	11.03
10.191	223.54	4.34
9.68	212.38	2.19
10.034	219.5	3.7
8.396	225.32	1.46
8.164	228.02	3.57
9.336	219.17	4.85
9.311	224.27	4.15
8.735	221.3	2.75
8.788	236.99	2.59
9.878	210.58	3.78
9.85	226.78	4.97
8.966	240.27	4.71
9.565	234.71	4.6
9.878	227.86	5.69
11.177	223.27	3.99
9.803	212.06	3.61
10.356	207.03	3.77
9.956	189.75	3.05
8.773	226.88	7.5
9.35	231.02	4.34
9.92	203.36	4.67
9.352	218.13	6.8
10.432	211.85	2.88
10.568	237.48	3.28
9.867	201.69	2.26
9.476	207.39	13.66
9.82	210.96	4.37
